topic_id	tweet_id	tweet_text	claim	claim_worthiness	WE_text
CT20-AR-03	1223643850171912194	الإمارات تعلن عن إصابة جديدة بفيروس كورونا لشخص قادم من الصين    الصين  كورونا  الإمارات		1	لندن تعلن عن إصابة جزئية بفيروس كورونا لشخص قادم بغير طريق الصين كورونا السعودية
CT20-AR-28_w2	1242164857870397443	ويقول الباحث الكيميائى مخلوف محمود إبراهيم إن العلاج إنتاج تم اختراعه صمم في بداية الأمر لعلاج الخلايا السرطانية ، وبعد أن أعطى نتائج مبهرة في السيطرة على الخلايا المتضررة ، وسيطر على تحورها تم تجربته على فيروس سي و  فيروس  كورونا من نوع CORONAVIRUS NL[رقم] بأشراف د  وليد مرسى السنوسى ، [رابط]		1	ويقول الدكتور الكيميائى مخلوف محمود إبراهيم إن العلاج إنتاج تم التوصل صمم في بداية المشكلة على الخلايا الشاذة ، ولكن الاختبار أعطى نتائج مبهرة في السيطرة على الخلايا التالفة ، وسيطر على تحورها تم تجربته مع فيروس سي و فيروس آخر من نوع CORONAVIRUS NL[رقم]بأشراف أ جيهان مرسى كامل ، [رابط]
CT20-AR-03	1224009843951968256	عزلة دولية وخسائر كبيرة في  الصين بسبب انتشار فيروس  كورونا   إليكم ما يحدث في بلد  المليار نسمة  [رابط]		1	عزلة حقيقية وخسائر كبيرة في هايتي بسبب تفشي فيروس إيب [رابط] ما يحدث في بلد 35 نسمة [رابط]
CT20-AR-29	1236370844412080129	 مصر تحليل الكورونا ب [رقم] جنيه   أسفه بس انتم حكومه ولاد و   غبيه  يعني الفقير هيموت و ملوش ديه و الأعداد هنكون غير حقيقيه و عادتكم القذره التجارة بأرواح الناس   كورونا  مصر  كورونا		1	1 تحليل الكورونا 1[رقم]طيب أسفه بس انتم حكومه ولاد البلد غبيه يعني دول هل دول ناس ديه ناس مشاكلهم جدا غير حقيقيه و مهمتهم القذره التجارة بأرواح الناس كورونا مصر كورونا
CT20-AR-29	1236401116763639810	 إيران وفاة الرادود الشهير حسن شيرازي في مستشفى كامكار بمدينة  قم بسبب  كورونا   والذي كان يحث الناس في الأيام الأولى من انتشار الفايروس إلى التوسل والتوكل على ضريح المعصومة  [رابط]		1	إيران وفاة الرادود الشهير محمود شيرازي في قريته كامكار وأصيب روحاني بسبب الحمى الفيروس بدأ يحث الناس في الأيام الأولى لمقاومة انتشار الفوضى علي التوسل والتوكل على ضريح المعصومة [رابط]
CT20-AR-29	1236776932458536960	 عاجل  وزارة  الداخلية  تعليق سفر المواطنين والمقيمين مؤقتا من وإلى عدد من الدول للسيطرة والحد من انتشار فيروس  كورونا  [رابط]		1	خاص – الداخلية اوقفت سفر المواطنين والمقيمين مؤقتا منهم وإلى عدد من الدول للسيطرة والحد مع أزمة فيروس كورونا [رابط]
CT20-AR-03	1223667298168381444	الفتاة المصرية التي رفضت الإجلاء من  الصين ل  العربية  نت  عاهدت أسرتي أن أعود بالدكتوراه ولايمكن أن أحمل الموت إليهم عبر  كورونا [رابط]  العربية		1	المرأة المصرية التي رفضت الإجلاء من الصين ل الهند الإسلامية قال والدى الا أعود للقاهرة ولايمكن أن أحمل الموت معى وما كورونا [رابط]قالوا
CT20-AR-29	1237123178276716547	عاجل    الحالة الرابعة لمواطن لديه أعراض تنفسية خفيفة وحضر إلى مستشفى في الشرقية وتم تنويمه في العزل وحصر المخالطين له    كورونا  السعودية  [رابط]		1	عاجل الجولة الرابعة لمواطن ظهر أعراض إصابة خفيفة وحضر إلى مستشفى محافظة العلا يتم إخراجه في العزل وحصر المتبقي له كورونا حالات [رابط]
CT20-AR-28_w1	1240011310978531330	 عاجل  وزارة  الصحة تصدر البيان رقم  [رقم]  حول تسجيل عدد  [رقم]  حالات إصابة جديدة بمرض فيروس  كورونا  كوفيد [رقم] في السلطنة  [مستخدم] [رابط]		1	عاجل للأوراق المالية تصدر البيان رقم[رقم]هدف تسجيل عدد[رقم]حالات إصابة جديدة ب ال كورونا بالرياض[رقم]في الصورة[مستخدم][رابط]
CT20-AR-03	1223403087399772160	تطلب الدعم    الصين تدعو المجتمع الدولي للتضامن معها في مواجهة فيروس «  كورونا » ، محذرة الدول من « رد الفعل المفرط » بخصوص مسألة التجارة والسفر إليها [رابط]		1	تطلب … الصين تدعو المجتمع الدولي ليقف معها في مواجهة فيروس « البلاد تعاني ، الثلاثاء ، من « غش الدول المفرط ، بخصوص مسألة التجارة والسفر إليها [رابط]
CT20-AR-03	1223612671553044480	عدد المصابين ارتفع إلى نحو [رقم] ألفا ما يتجاوز إصابات فيروس  سارس  عامي [رقم] و [رقم]  فيروس  كورونا  اندبندنت  عربية  تغنيك		1	إقبال المعتمرين ارتفع إلى نحو[رقم]تعليم مشترك حول إصابات فيروس سارس عامي[رقم]الطقس[رقم]بعد جديد نسخة عربية تغنيك
