topic_id	tweet_id	tweet_text	claim	claim_worthiness	WE_text
CT20-AR-02	1222171831735595008	بيان لوزير الخارجية الأميركي مايك بومبيو  على الحوثيين وقف هجماتهم على المناطق السعودية		1	بيان معهد التعاون الأميركي حول غري على اليمنيين وقف هجماتهم على المناطق السعودية
CT20-AR-02	1221799913593413632	 زكريا قاسم ، شخصية تربوية وله مكانة بين أبناء عدن وجهوده مشهودة في العمل الإغاثي والإنساني أثناء معارك تحرير عدن من مليشيا الحوثيين ، لكنه عوقب بالاختطاف من قبل إدارة الأمن والإخفاء القسري  ذكرى  اختطاف  زكريا  الحريه  للمخفيين  قسريا		1	زكريا قاسم أمين مؤسسة تربوية وله في بين أبناء عدن أدوار مشهودة في العمل الإغاثي والإنساني وفي معارك تحرير أبين من مليشيا 94 ، لكن عوقب بالاختطاف من جانب إدارة الأمن والإخفاء القسري عقب اختطاف زكريا الحريه للمخفيين قسريا
CT20-AR-02	1221470351382630401	مصادر عسكرية يمنية تؤكد للجزيرة سيطرة الحوثيين على مفرق الجوف الاستراتيجي في محافظة نهم شرق صنعاء وبذلك يصبحون أقرب من أي وقت مضى إلى مدينة  مأرب  تقرير  نادين الديماسي  الأخبار [رابط]		1	تقارير ميدانية يمنية كشفت للجزيرة سيطرة الحوثيين على مفرق الجوف الاستراتيجي في منطقة نهم بالعاصمة صنعاء وبذلك يصبحون اقرب بين أي وقت مضى إلى طريق مأرب من نادين صدى الأخبار [رابط]
CT20-AR-02	1221444805760339968	صادق دويد  سقطت كل رهانات الواهمين وأثبتت الحقائق والوقائع أن خطر الحوثي يهددحاضر ومستقبل اليمن ودول المنطقة  وفي هذه المعركة المفصلية فإن من يعتبر أن الحوثي خطر مؤجل ويختلق معارك أخرى فهو يغرد خارج السرب ، وعليه أن يعيد حساباته ، لأن الحوثيين ومن خلفهم إيران هو الخطر الذي يهددالجميع [رابط]		1	صادق علي انتهت كل أصوات الواهمين وأثبتت الحقائق والوقائع أن خطر الحوثي تهدد واستقرار اليمن ودول المنطقة وفي هذه المعركة المفصلية فإن من يعتبر أن الحوثي خطر يتهدد بانتظار معارك أخرى فهو يغرد بغير السرب ، وعليه أن يراجع حساباتها ، لأن الحوثيين ومن خلفهم إيران هو الخطر الذي يهددالجميع [رابط]
CT20-AR-02	1221406918398414849	القوات المسلحة الجنوبية تحقق انتصارات كبيرة في شمال الضالع ضد الحوثيين ، وتصل تخوم محافظة إب ، وقوات الشرعية تتقهقر في مأرب أمام ذات العدو الحوثي   هناك فرق بين من يقاتل لأجل الوطن ومن يقاتل لأجل المال 		1	القوات المسلحة الجنوبية تحقق تقدما كبيرة في شمال الضالع وملاحقة الانقلابيين ، وتصل تخوم محافظة إب الجنوبية وقوات الشرعية تتقهقر عند مأرب أمام زحف العدو الحوثي هناك فرق من من يقاتلون لأجل الوطن وذاك يقاتل لأجل الشرعية
CT20-AR-02	1221488119352045568	بعد أن بانت خيانة حزب الإصلاح بتسليمهم السلاح للحوثي في نهم وغيرها نرجو من الجميع فضحهم والتغريد بهذا الهاشتاج  الاصلاح  يخون  اليمن الموضوع هام وواضح وبالذات بعد أن أظهر الحوثيون الكميات الكبيرة من غنائم السلاح الثقيل والمتوسط التي غنموها بعد هروب جنود الإصلاح		1	بعد مدة بانت خيانة حزب الإصلاح وتسليم السلاح للحوثيين في نهم ؛ نرجو من الجميع فضحهم والتغريد بهذا السرب الاصلاح يخون كل الموضوع هام وواضح ايضا بعد أن تسلم الجيش الكميات الكبيرة من قطع السلاح الثقيل والمتوسط التي غنموها بعد هروب جنود الإصلاح
CT20-AR-02	1221529411469684737	اخر التطورات الميدانية في  اليمن   الحوثيون تمكنوا من السيطرة على مناطق جديدة شمال غرب محافظة مأرب ، بعد تأمينهم لمفرق الجوف ومدينة براقش الأثرية والاشتباكات تقترب من معسكر ماس الاستراتيجي الذي تسيطر عليه قوات الجيش الوطني   التحالف  يغدر  بالشرعية		1	أخر التطورات الميدانية اخبار اليمن الحوثيون تمكنوا في الاستحواذ على مناطق جديدة شمال غرب محافظة مأرب وذلك بعد وصولهم لمفرق الجوف ومدينة براقش الأثرية والاشتباكات خرجت من معسكر ماس الاستراتيجي الذي تحصن به قوات الجيش الوطني صالح يغدر بالشرعية
CT20-AR-02	1221898509496045568	عاجل  التحالف السعودي الاماراتي يعيد فتح مطار صنعاء الواقع تحت سيطرة الحوثيين أمام الرحلات الطبية وتسيير رحلات بدءا من الأسبوع المقبل  القرار جاء بعد أيام من تمكين التحالف للحوثيين السيطرة على منطقة نهم ومفرق الجوف الاستراتيجيين شرق العاصمة بعد أن كانت تحت سيطرة الحكومة الشرعية 		1	، تحالف السعودي الاماراتي يعيد فتح مطار صنعاء الواقع تحت سيطرة الحوثيين باستقبال الرحلات الطبية وتسيير الملاحة بدءا من الأسبوع المقبل ، يأتي بعد أيام من حسم التحالف للحوثيين السيطرة على منفذ نهم ومفرق الجوف الاستراتيجيين شرق ، بعد أن كانت تحت قبضة الحكومة الشرعية
CT20-AR-02	1221384006446567424	مدينه براقش بالجوف سقطت والمتون سقطت وفرضه نهم سقطت ومفرق الجوف سقط بيد الحوثه   كل قوات الشرعيه انسحبت إلى معسكر ماس الآن الحوثي عينه على معسكر ماس اذا سقط سقطت مأرب كامل   هذه الاخبار الحقيقة لمن يريد الحقيقة   الحقيقة مؤلمه عند بعض الناس ولكن لابد من طرحها   [رابط]		1	مدينه براقش بالجوف وفي مأرب سقطت وفرضه نهم سقطت ومفرق الجوف سقط بيد الحوثه كل القوات الشرعيه انسحبت خارج معسكر ماس اذا الحوثي عينه على معسكر ماس اذا الحوثي سقطت مأرب كامل هذه الاخبار الحقيقة لمن قال الحقيقة الحقيقة مؤلمه تواجهها بعض الشعوب حقيقة لابد من طرحها [رابط]
CT20-AR-02	1221591905487724546	 نهم  مقبرة  الحوثي الحوثي الان في ورطه حقيقيه كل حشوده في نهم على حساب بقية الجبهات الان تحركت الجبهات وتم خداعهم بنجاح سيطروا ع فرضة نهم لكنهم في المقابل خسروا جبل هيلان وهو الطريق الحقيقي الى صنعاء وضربه قاسيه للحوثين   نهم  تنتصر  للجمهوريه		1	يام مقبرة الحوثي الحوثي الان في ورطه واصبحت كل حشوده لحرب نهم في حساب معارك الجبهات الان تحركت الجبهات وتم تثبيت الحوثيين سيطروا ع فرضة نهم الكبرى قي المقابل خسروا جبل هيلان وهو الحاجز الحقيقي الى صنعاء وضربه قاسيه للحوثين نهم تنتصر للجمهوريه
