topic_id	tweet_id	tweet_text	claim	claim_worthiness	en	ar
CT20-AR-19	1230086430254387200	سقط نحو أكثر من [رقم] مدني من بينهم [رقم] طفلا ، ونزح أكثر من [رقم] ألف نسمة من سكان المدينة ، ولا يزال يمارس أردوغان أبشع الجرائم في شمال سوريا    اردوغان  النازي  الجديد [رابط]		1	More than [number] civilians have fallen, including [number] children, and more than [number] a thousand residents of the city have been displaced, and Erdogan is still practicing the worst crimes in northern Syria.	سقط أكثر من [عدد] مدنيين، بينهم [عدد] أطفال، ونزح أكثر من [عدد] ألف من سكان المدينة، ولا يزال أردوغان يمارس أسوأ الجرائم في شمال سوريا.
CT20-AR-19	1230164895917838336	بيدرسون  روسيا ضالعة في العمليات العسكرية التي يشنها النظام في إدلب  جلسة لمجلس الأمن  بيدرسون  بإمكان تركيا وروسيا خفض التصعيد في إدلب ويجب على البلدين القيام بذلك يدرسون  وحدة الأراضي السورية معرضة لخطر داهم وما زلنا بعيدين عن التوصل إلى سلام		1	Pedersen Russia is involved in the military operations launched by the regime in Idlib A meeting of the Security Council Pedersen Turkey and Russia can de-escalate in Idlib and the two countries must do so Study the unity of Syrian territory is in immediate danger and we are still far from reaching peace	بيدرسن روسيا تشارك في العمليات العسكرية التي يشنها النظام في إدلب اجتماع لمجلس الأمن بيدرسن تركيا وروسيا يمكن أن يوقف التصعيد في إدلب ويجب على البلدين القيام بذلك دراسة وحدة الأراضي السورية في خطر فوري ونحن لا نزال بعيدين عن تحقيق السلام
CT20-AR-19	1230829049242693633	تركيا  إردوغان يدعو لإقامة منطقة آمنة بعمق يتراوح بين [رقم] و [رقم] كيلومترا في سوريا		1	Turkey Erdogan calls for safe zone between [number] and [number] kilometers in Syria	أردوغان يدعو لإقامة منطقة آمنة بين [عدد] و[عدد] الكيلومترات في سوريا
CT20-AR-19	1230502282359398401	بواقعية   حتى الآن   تمهيد عنيف لقوات الثوار و الجيش التركي على ثكنات النظام في النيرب و سراقب و محيطها   التقدم كان على الحي الغربي لمدينة النيرب ، لكن لم يفلح الثوار بدخول كامل المدينة ، وما تزال الاشتباكات على أطرافها 		1	Realistically, so far, a violent prelude to the rebel forces and the Turkish army on the regime barracks in Neirab and Saraqib and its surroundings. The advance was on the western neighborhood of Neirab, but the rebels did not succeed in entering the entire city, and clashes are still on its outskirts.	واقعيا، حتى الآن، مقدمة عنيفة لقوات المتمردين والجيش التركي على ثكنات النظام في النيرب وسراقب والمناطق المحيطة بها. كان التقدم على حي النيرب الغربي، لكن المتمردين لم ينجحوا في دخول المدينة بأكملها، والاشتباكات لا تزال على مشارفها.
CT20-AR-19	1230598053477994497	في خضم التوتر التركي الروسي في سوريا ، يزور السراج إسطنبول بعد زيارة حفتر لموسكو  لا يمكن فصل ما يجري في إدلب عما يجري في ليبيا ، وأي تصعيد أكبر في إدلب سيقابله تصعيد مماثل في ليبيا  صراع إرادات بين أردوغان وبوتين ، بينما الغربيون يسعون لتغذية هذا الصراع لإبعاد تركيا عن روسيا 		1	Amid Turkish-Russian tension in Syria, Al-Sarraj visits Istanbul after Haftar’s visit to Moscow. What is happening in Idlib cannot be separated from what is happening in Libya, and any further escalation in Idlib will be met by a similar escalation in Libya, a conflict of wills between Erdogan and Putin, while Westerners seek to fuel this conflict to distance Turkey from Russia.	وسط التوتر التركي الروسي في سوريا، يزور السراج إسطنبول بعد زيارة حفتر إلى موسكو. ما يحدث في إدلب لا يمكن فصله عما يحدث في ليبيا، وأي تصعيد آخر في إدلب سيقابله تصعيد مماثل في ليبيا، صراع إرادات بين أردوغان وبوتين، بينما يسعى الغربيون إلى تأجيج هذا الصراع لإبعاد تركيا عن روسيا.
CT20-AR-19	1231987896015622146	مسؤول رفيع في البنتاغون للحرة  واشنطن تدرك أهمية العلاقات الاستراتيجية مع تركيا لكن الناتو لن يساعد القوات التركية في أي نزاع داخل سوريا		1	Washington recognizes the importance of strategic relations with Turkey, but NATO will not help Turkish forces in any conflict inside Syria	تدرك واشنطن أهمية العلاقات الاستراتيجية مع تركيا، لكن حلف الناتو لن يساعد القوات التركية في أي صراع داخل سوريا.
CT20-AR-19	1230182192434864128	المندوب التركي الدائم لدى الأمم المتحدة خلال جلسة مجلس الأمن لمناقشة الأوضاع الإنسانية في  ادلب يؤكد عدم اعتراف  تركيا بالنظام السوري و اعتباره نظاما غير شرعي لمسؤوليته عن قتل وتهجير ملايين السوريين ويطالب المجتمع الدولي بموقف جاد لوقف جرائم الأسد في  ادلب  [رابط]		1	Turkish Permanent Representative to the United Nations during the Security Council session to discuss the humanitarian situation in Idlib confirms Turkey's non-recognition of the Syrian regime and considering it an illegitimate regime responsible for the killing and displacement of millions of Syrians and calls on the international community to take a serious position to stop Assad's crimes in Idlib [link]	المندوب التركي الدائم لدى الأمم المتحدة خلال جلسة مجلس الأمن لمناقشة الوضع الإنساني في إدلب يؤكد عدم اعتراف تركيا بالنظام السوري واعتباره نظاماً غير شرعي مسؤول عن قتل وتشريد ملايين السوريين ويدعو المجتمع الدولي إلى اتخاذ موقف جاد لوقف جرائم الأسد في إدلب
CT20-AR-19	1230854510190440448	ضمن الإعدادات الجارية لمعركة إدلب أدخل الجيش التركي اليوم إلى ميدان المعركة راجمة الصواريخ  K عيار [رقم] مم ويبلغ مداها [رقم] كم [رابط]		1	As part of the ongoing preparations for the battle of Idlib, the Turkish army today entered the battlefield with a K-bomber [number] mm and a range of [number] km [link]	كجزء من الاستعدادات الجارية لمعركة إدلب، دخل الجيش التركي اليوم ساحة المعركة بقنبلة K- mm ومجموعة من [عدد] كم [وصلة]
CT20-AR-19	1230488762527948801	وحدات الجيش تتصدى لمحاولة هجوم تنفذها المجموعات المسلحة بمؤازرة جيش الاحتلال التركي على محور بلدة  النيرب غرب  سراقب بريف إدلب الشرقي وسط اشتباكات عنيفة تشهدها المنطقة وقصف جوي ومدفعي كثيف يستهدف مواقع المسلحين في المنطقة [رابط]		1	Army units respond to an attack attempt carried out by armed groups with the support of the Turkish occupation army on the axis of the town of Neirab west of Saraqeb in the eastern countryside of Idlib amid violent clashes in the region and heavy air and artillery shelling targeting the positions of militants in the region [link]	وحدات الجيش ترد على محاولة هجوم نفذتها جماعات مسلحة بدعم من جيش الاحتلال التركي على محور بلدة النيرب غرب سراقب في ريف إدلب الشرقي وسط اشتباكات عنيفة في المنطقة وقصف جوي ومدفعي كثيف استهدف مواقع المسلحين في المنطقة [link]
CT20-AR-19	1230833388627599361	أردوغان  لن ننسحب من إدلب  وندعو لإقامة منطقة آمنة بعمق يتراوح بين [رقم] و [رقم] كيلومترا في سوريا  حدا يشرحلنا يا جماعة  لأن هيك مسافة فقط لادلب ولا تشمل اريحا والاربعين وجبل الزاوية وشحشبو وسهل الغاب		1	Erdogan will not withdraw from Idlib and call for the establishment of a safe zone between [number] and [number] kilometers in Syria to explain to us, people, because he is only a distance to Idlib and does not include Jericho, Forty, Zawiya Mountain, Shuhashbo and the plain of the jungle	لن ينسحب أردوغان من إدلب ويدعو إلى إقامة منطقة آمنة بين [العدد] و[العدد] كيلومترات في سوريا ليشرح لنا أيها الناس، لأنه على مسافة من إدلب فقط ولا يشمل أريحا وأربعين وجبل الزاوية وشوشبو وسهل الغابة.
