topic_id	tweet_id	tweet_text	claim	claim_worthiness	en	ar
CT20-AR-03	1223643850171912194	الإمارات تعلن عن إصابة جديدة بفيروس كورونا لشخص قادم من الصين    الصين  كورونا  الإمارات		1	UAE announces new Coronavirus infection for a person coming from China Corona UAE	الإمارات تعلن عن إصابة جديدة بفيروس كورونا لشخص قادم من الصين
CT20-AR-28_w2	1242164857870397443	ويقول الباحث الكيميائى مخلوف محمود إبراهيم إن العلاج إنتاج تم اختراعه صمم في بداية الأمر لعلاج الخلايا السرطانية ، وبعد أن أعطى نتائج مبهرة في السيطرة على الخلايا المتضررة ، وسيطر على تحورها تم تجربته على فيروس سي و  فيروس  كورونا من نوع CORONAVIRUS NL[رقم] بأشراف د  وليد مرسى السنوسى ، [رابط]		1	Chemical researcher Makhlouf Mahmoud Ibrahim says that the treatment was initially designed to treat cancer cells, and after it gave impressive results in controlling the affected cells, and controlled their mutation was tested on the virus C and Coronavirus type of Coronavirus NL[number] supervised by Dr. Walid Marsa Senussi,[link]	يقول الباحث الكيميائي مخلوف محمود إبراهيم إن العلاج كان مصمماً في البداية لعلاج الخلايا السرطانية، وبعد أن أعطى نتائج باهرة في السيطرة على الخلايا المصابة، والسيطرة على طفراتها تم اختباره على نوع الفيروس C وفيروس كورونا من فيروس كورونا NL[رقم] بإشراف الدكتور وليد مرسى السنوسي،[link]
CT20-AR-03	1224009843951968256	عزلة دولية وخسائر كبيرة في  الصين بسبب انتشار فيروس  كورونا   إليكم ما يحدث في بلد  المليار نسمة  [رابط]		1	International isolation and significant losses in China due to the spread of the Corona virus Here's what's happening in the country of one billion people	العزلة الدولية والخسائر الكبيرة في الصين بسبب انتشار فيروس كورونا إليك ما يحدث في بلد يبلغ عدد سكانه مليار شخص
CT20-AR-29	1236370844412080129	 مصر تحليل الكورونا ب [رقم] جنيه   أسفه بس انتم حكومه ولاد و   غبيه  يعني الفقير هيموت و ملوش ديه و الأعداد هنكون غير حقيقيه و عادتكم القذره التجارة بأرواح الناس   كورونا  مصر  كورونا		1	Egypt Corona Analysis B [Number] Pound Sorry but you are a government of a child and stupid means poor Hemot and Mlush Deh and numbers Hencon is not real and your habit dirty trade in people's lives Corona Egypt Corona	Egypt Corona Analysis B [Number] Pound آسف ولكن أنت حكومة طفل وغبي يعني فقير Hemot و Mlush Deh وأرقام Hencon ليست حقيقية وعادتك التجارة القذرة في حياة الناس Corona Egypt Corona
CT20-AR-29	1236401116763639810	 إيران وفاة الرادود الشهير حسن شيرازي في مستشفى كامكار بمدينة  قم بسبب  كورونا   والذي كان يحث الناس في الأيام الأولى من انتشار الفايروس إلى التوسل والتوكل على ضريح المعصومة  [رابط]		1	Iran The death of the famous radiator Hassan Shirazi in the hospital of Kamkar in Qom because of Corona, which was urging people in the early days of the spread of the virus to beg and call on the shrine of the infallible [link]	إيران وفاة المبرد الشهير حسن شيرازي في مستشفى كامكار في قم بسبب كورونا الذي كان يحث الناس في الأيام الأولى لانتشار الفيروس على التسول والدعوة إلى ضريح المعصوم
CT20-AR-29	1236776932458536960	 عاجل  وزارة  الداخلية  تعليق سفر المواطنين والمقيمين مؤقتا من وإلى عدد من الدول للسيطرة والحد من انتشار فيروس  كورونا  [رابط]		1	Urgent Ministry of Interior temporarily suspends travel of citizens and residents to and from a number of countries to control and limit the spread of coronavirus [link]	وزارة الداخلية تعلق مؤقتا سفر المواطنين والمقيمين من وإلى عدد من البلدان للسيطرة على انتشار فيروس كورونا والحد منه
CT20-AR-03	1223667298168381444	الفتاة المصرية التي رفضت الإجلاء من  الصين ل  العربية  نت  عاهدت أسرتي أن أعود بالدكتوراه ولايمكن أن أحمل الموت إليهم عبر  كورونا [رابط]  العربية		1	The Egyptian girl who refused to evacuate from China to Al Arabiya Net has promised my family that I will return with my doctorate and I cannot bring death to them through Al Arabiya Corona [link]	الفتاة المصرية التي رفضت الإخلاء من الصين إلى العربية نت وعدت عائلتي بأنني سأعود بدكتوراة ولا أستطيع أن أحضر الموت لهم من خلال العربية كورونا [link]
CT20-AR-29	1237123178276716547	عاجل    الحالة الرابعة لمواطن لديه أعراض تنفسية خفيفة وحضر إلى مستشفى في الشرقية وتم تنويمه في العزل وحصر المخالطين له    كورونا  السعودية  [رابط]		1	Urgent The fourth case of a citizen who has mild respiratory symptoms and came to a hospital in the Sharqiyah and was hypnotized in isolation and the confinement of contacts Saudi Corona [link]	حالة رابعة عاجلة لمواطن يعاني من أعراض تنفسية خفيفة وجاء إلى مستشفى في الشرقية وتم تنويمه مغناطيسياً في عزلة وحبس مخالطين سعوديين كورونا [link]
CT20-AR-28_w1	1240011310978531330	 عاجل  وزارة  الصحة تصدر البيان رقم  [رقم]  حول تسجيل عدد  [رقم]  حالات إصابة جديدة بمرض فيروس  كورونا  كوفيد [رقم] في السلطنة  [مستخدم] [رابط]		1	Urgent Ministry of Health issues statement No. [No.] on the registration of the number of new cases of Coronavirus COVID [No.] in the Sultanate [User] [link]	عاجل وزارة الصحة تصدر بيان رقم [رقم] بشأن تسجيل عدد الحالات الجديدة لفيروس كورونا COVID [رقم] في السلطنة [المستخدم] [link]
CT20-AR-03	1223403087399772160	تطلب الدعم    الصين تدعو المجتمع الدولي للتضامن معها في مواجهة فيروس «  كورونا » ، محذرة الدول من « رد الفعل المفرط » بخصوص مسألة التجارة والسفر إليها [رابط]		1	"China calls on the international community to stand in solidarity with it in the face of the Corona virus, warning countries of ""overreaction"" on the issue of trade and travel to it"	"ودعت الصين المجتمع الدولي إلى التضامن معها في مواجهة فيروس كورونا، محذرة الدول من ""رد فعل مبالغ فيه"" بشأن قضية التجارة والسفر إليها."
