topic_id	tweet_id	tweet_text	claim	claim_worthiness	Gen_text
CT20-AR-03	1223643850171912194	الإمارات تعلن عن إصابة جديدة بفيروس كورونا لشخص قادم من الصين    الصين  كورونا  الإمارات		1	الإمارات تعلن عن إصابة جديدة بفيروس كورونا لشخص قادم من الصين الصين كورونا الإمارات العربية المتحدة المملكة العربية السعودية قطر البحرين« الدولة » و « الشورى » يتوافقان حول المواد محل التباين بمشروع “ قانون الضريبة على السلع الانتقائية ” تمهيدا لرفعه للمقام الساميبدء الأعمال التحضيرية لإنشاء مستشفى السلطان قابوس الجديد بصلالة ومستشفيين بالسويق وخصب بتكلفة تصل الى 270 مليون ريال عماني
CT20-AR-28_w2	1242164857870397443	ويقول الباحث الكيميائى مخلوف محمود إبراهيم إن العلاج إنتاج تم اختراعه صمم في بداية الأمر لعلاج الخلايا السرطانية ، وبعد أن أعطى نتائج مبهرة في السيطرة على الخلايا المتضررة ، وسيطر على تحورها تم تجربته على فيروس سي و  فيروس  كورونا من نوع CORONAVIRUS NL[رقم] بأشراف د  وليد مرسى السنوسى ، [رابط]		1	ويقول الباحث الكيميائى مخلوف محمود إبراهيم إن العلاج إنتاج تم اختراعه صمم في بداية الأمر لعلاج الخلايا السرطانية ، وبعد أن أعطى نتائج مبهرة في السيطرة على الخلايا المتضررة ، وسيطر على تحورها تم تجربته على فيروس سي و فيروس كورونا من نوع CORONAVIRUS NL[رقم] بأشراف د وليد مرسى السنوسى ، [رابط]
CT20-AR-03	1224009843951968256	عزلة دولية وخسائر كبيرة في  الصين بسبب انتشار فيروس  كورونا   إليكم ما يحدث في بلد  المليار نسمة  [رابط]		1	"عزلة دولية وخسائر كبيرة في الصين بسبب انتشار فيروس كورونا إليكم ما يحدث في بلد المليار نسمة [رابط] ""."
CT20-AR-29	1236370844412080129	 مصر تحليل الكورونا ب [رقم] جنيه   أسفه بس انتم حكومه ولاد و   غبيه  يعني الفقير هيموت و ملوش ديه و الأعداد هنكون غير حقيقيه و عادتكم القذره التجارة بأرواح الناس   كورونا  مصر  كورونا		1	مصر تحليل الكورونا ب [رقم] جنيه أسفه بس انتم حكومه ولاد و غبيه يعني الفقير هيموت و ملوش ديه و الأعداد هنكون غير حقيقيه و عادتكم القذره التجارة بأرواح الناس كورونا مصر كورونا
CT20-AR-29	1236401116763639810	 إيران وفاة الرادود الشهير حسن شيرازي في مستشفى كامكار بمدينة  قم بسبب  كورونا   والذي كان يحث الناس في الأيام الأولى من انتشار الفايروس إلى التوسل والتوكل على ضريح المعصومة  [رابط]		1	إيران وفاة الرادود الشهير حسن شيرازي في مستشفى كامكار بمدينة قم بسبب كورونا والذي كان يحث الناس في الأيام الأولى من انتشار الفايروس إلى التوسل والتوكل على ضريح المعصومة [رابط]بسم الله الرحمن الرحيم الحمد لله رب العالمين والصلاة والسلام على المبعوث رحمة للعالمين نبينا محمد وعلى آله الطيبين الطاهرين : قال الله سبحانه وتعالى : ( وتعاونوا على البر والتقوى ولا تعاونوا على الأثم والعدوان واتقوا الله إن الله شديد العقاب ) ( المائدة : الآية 2 ) وقال عز وجل : ( ومن أحسن قولا ممن دعا إلى الله وعمل صالحا وقال إنني من المسلمين ) ( فصلت : 33 ) قال رسول الله صلى الله عليه واله وسلم قال : ( ( إذا مات الإنسان انقطع عمله إلا من ثلاث : إلا من صدقة جارية ، أو علم ينتفع به ، أو ولد صالح يدعو له ) ) [ رواه مسلم : 4939 ].« أيها الناس ، من عمل عملا ليس عليه أمرنا فهو رد » قال ابن عباس رضي الله عنهما : « من سئل عن علم فكتمه ألجم يوم القيامة بلجام من نار »
CT20-AR-29	1236776932458536960	 عاجل  وزارة  الداخلية  تعليق سفر المواطنين والمقيمين مؤقتا من وإلى عدد من الدول للسيطرة والحد من انتشار فيروس  كورونا  [رابط]		1	عاجل وزارة الداخلية تعليق سفر المواطنين والمقيمين مؤقتا من وإلى عدد من الدول للسيطرة والحد من انتشار فيروس كورونا [رابط] [رابط views more … السعودية – واس : أعلنت وزارة الصحة ، اليوم الخميس ، عن توفر عدد من الوظائف الشاغرة على لائحتي المستخدمين وبند الأجور والمستخدمين. وقال المتحدث الرسمي لوزارة الصحة الدكتور خالد بن محمد مرغلاني ، إن الوزارة ترغب في إشغالها بمواطنين سعوديين وسعوديات ، وفق الشروط التالية : أن يكون المتقدم سعودي الأصل والمنشأ ، ويستثنى من ذلك من نشأ مع والده أثناء خدمة الحكومية خارج المملكة ، وأن لا يقل عمره عن ( 17 ) سنة ولا يزيد عن ( 25 ) سنة ، مشيرا إلى أن الأفضلية ستكون لشقيقين أو أخوين ممن هم على رأس العمل ، وذلك وفقا لبقية الشروط والتفاصيل الموضحة أدناه.المشاركات والتعليقات المنشورة بأسماء أصحابها أو بأسماء مستعارة لا تمثل الرأي الرسمي للصحيفة بل تمثل وجهة نظر كاتبهاالجوف الأن صحيفة إخبارية شاملة تسعى لتكون من الصحف ذات الجودة في الخبر والمعلومة والتغطيات الإعلامية بكادر يسعى ليفرض نفسه على الساحة الإعلامي
CT20-AR-03	1223667298168381444	الفتاة المصرية التي رفضت الإجلاء من  الصين ل  العربية  نت  عاهدت أسرتي أن أعود بالدكتوراه ولايمكن أن أحمل الموت إليهم عبر  كورونا [رابط]  العربية		1	"الفتاة المصرية التي رفضت الإجلاء من الصين ل العربية نت عاهدت أسرتي أن أعود بالدكتوراه ولايمكن أن أحمل الموت إليهم عبر كورونا [رابط] العربية نت - نشرت صحيفة "" ديلي ميل "" البريطانية تقريرا ، تحدثت فيه عن معاناة الفتاة المصرية..."
CT20-AR-29	1237123178276716547	عاجل    الحالة الرابعة لمواطن لديه أعراض تنفسية خفيفة وحضر إلى مستشفى في الشرقية وتم تنويمه في العزل وحصر المخالطين له    كورونا  السعودية  [رابط]		1	عاجل الحالة الرابعة لمواطن لديه أعراض تنفسية خفيفة وحضر إلى مستشفى في الشرقية وتم تنويمه في العزل وحصر المخالطين له كورونا السعودية [رابط]
CT20-AR-28_w1	1240011310978531330	 عاجل  وزارة  الصحة تصدر البيان رقم  [رقم]  حول تسجيل عدد  [رقم]  حالات إصابة جديدة بمرض فيروس  كورونا  كوفيد [رقم] في السلطنة  [مستخدم] [رابط]		1	"عاجل وزارة الصحة تصدر البيان رقم [رقم] حول تسجيل عدد [رقم] حالات إصابة جديدة بمرض فيروس كورونا كوفيد [رقم] في السلطنة [مستخدم] [رابط]اللجنة الوطنية لمكافحة التبغ تنتقد غرفة المدخنين بمطار وتطوان : الوطن موازينا لصفقة “ الشقيق ” غدا السبتعروض سياحية : ارخص سعر تذكرة طيران الصين ، كوانزو ، مصر للطيران Guangzhou, China - تقارير سياحية مصورة[تقرير سياحي] تعالى اقولك على افضل اماكن الفسح فى "" الاسكندرية "" موضوع هيفيدك جدا ومتجدد - الموسوعة السياحيةتهنئ اسرة'شهداء قلعة قايتباي "" سمو الأمير ٬ الشيخ سلطان بن محمد بن سلطان القاسمي ٬ ا إلى تحقيق الصلح بين الشعبين الإحياديين الأكبر في المنطقة العربية والشرق الأوسط, وذلك بعد جهاد دام لأكثر من ثلاثين عامانتمنى لك قضاء وقت ممتع ومفيد معنا.. همنا وسهلآ بك.. ماتبطلوحة تحكم العضو الرسائل الخاصة الاشتراكات المتواجدون الآن البحث في المنتدى الصفحة الرئيسية للمنتدى اقسام شركة ترافل ماليزيا طلبات الحجز برامج"
CT20-AR-03	1223403087399772160	تطلب الدعم    الصين تدعو المجتمع الدولي للتضامن معها في مواجهة فيروس «  كورونا » ، محذرة الدول من « رد الفعل المفرط » بخصوص مسألة التجارة والسفر إليها [رابط]		1	تطلب الدعم الصين تدعو المجتمع الدولي للتضامن معها في مواجهة فيروس « كورونا » ، محذرة الدول من « رد الفعل المفرط » بخصوص مسألة التجارة والسفر إليها [رابط] [رابط6] … [رابط10 _ 5]منظمة العفو الدولية تحاول توثيق حجم الدمار جراء غارات التحالف على الرقة السورية وزير الخارجية البريطاني : على السعوديين ألا يضعوا شروط أخرى للتفاوض الوفد الوطني للمشاورات المقبلة يلتقي المبعوث الأممي طيران العدوان يشن أربع غارات على مدينة حرض بحجة طيران العدوان ويسبق مروحيته في مديرية رازح الحدوديةمصادر أهلية ل سانا : أكثر من ٦٠ شهيدا وجريحا بين المدنيين نتيجة عدوان طيران التحالف الدولي على قرية الشعفة في ريف دير الزور الشرقيفي ظل الترويج لعودة اللاجئين إلى بلد ” الأمن و الأمان ”.. حزب البعث يسجن الصحافيين الموالين له و واحد من أشهرهم عالق في بيروت و يخشى العودة و الاعتقال!
