topic_id	tweet_id	tweet_text	claim	claim_worthiness	Gen_text
CT20-AR-01	1222278455653543937	الخارجية  السعودية تؤكد ان المملكة تشجع على بدء مفاوضات مباشرة بين الفلسطينيين والإسرائيليين برعاية أمريكية  الفلسطينيون يرفضون المفاوضات المباشرة   دليلك  الى  بيع  القضية  تسقط  صفقة  القرن  سرقة  القرن		1	"الخارجية السعودية تؤكد ان المملكة تشجع على بدء مفاوضات مباشرة بين الفلسطينيين والإسرائيليين برعاية أمريكية الفلسطينيون يرفضون المفاوضات المباشرة دليلك الى بيع القضية تسقط صفقة القرن سرقة القرن.. كيف سيواجه هذه الحقيقة ؟ فلسطين الأكثر تعرضا للتوتر والإرهاب منظومة الصحة في العالم توكد حصولها على اعتماد وكالة الرعاية الصحية العالمية قطر تدين بشدة انتهاكات حقوق الإنسان في بالحديدة وتدين وتستنكر بشدة الهجوم الذي وقع داخل حافلة في محافظة الحديدةالحريري : "" حزب الله "" يعرقل تشكيل الحكومة اللبنانية مؤسس فيسبوك ينضم لمجموعة سرية إسرائيلية.. وعاصفة من التساؤلات! سورية : جريمة قرية الشعفة تؤكد مجددا استخفاف دول “ التحالف ” غير الشرعي بحياة المدنيين وبأحكام القانون الدولي من "" أوسلو "" إلى "" صفقة القرن "" : حكاية تلازم المسار والمصير روسيا : من السابق لأوانه رفع حظر تسليح ليبيا فلا بد من توحيد المؤسسات أولا ميركل : علينا العمل على رؤية وجود جيش أوروبي حقيقي ثلاثة أسابيع حساسة في حرب اليمن ترامب ساخرا من ماكرون : كنتم تتعلمون الألمانية حتى أنقذناكم استطلاع للرأي : تراجع شعبية أردوغان إلى 8 ر 39 بالمئة بيكيه يفجر بركان غضب فالفيردي بيريز"
CT20-AR-01	1222279230744035329	 السعودية تبصم على  صفقة  القرن   المملكة تشجع على بدء مفاوضات مباشرة بين الفلسطينيين والإسرائيليين برعاية أميركية   لا  لصفقة  العار  تسقط  صفقة  القرن		1	"السعودية تبصم على صفقة القرن المملكة تشجع على بدء مفاوضات مباشرة بين الفلسطينيين والإسرائيليين برعاية أميركية لا لصفقة العار تسقط صفقة القرنشروط النشر : عدم الإساءة للكاتب أو للأشخاص أو للمقدسات أو مهاجمة الأديان أو الذات الالهية. والابتعاد عن التحريض الطائفي والعنصري والشتائم.أكد فاتح بيرول ، مدير وكالة الطاقة الدولية ، الثلاثاء ، أن أسواق النفط تدخل في فترة غير مسبوقة من الضبابية ، بسبب عدم الاستقرار الجيوسياسي وهشاشة الاقتصاد العالمي. وتضغط "" أوبك "" من أجل خفضكشف الفنان محمد صبحي "" سعادته الكبيرة بردود الفعل الرائعة التي تلقاها عن مسرحيته الجديدة "" خيبتنا "" مشيرا إلى أنه لمس ذلك بنفسك من الجمهور وتعليقاته عقب عرض المسرحية, بخاصة أن التعليقاتلم تكتشف هذه الخاصية الموجودة بالفعل في هاتف "" آيفون "" منذ ثلاث سنوات ، إلا منذ أيام قليلة ، فلم تكن معروفة لدى الكثير من المستخدمين ، والآن تم الكشف عنها على وسائل التواصليبدأ الأطفال أصحاب المواهب الموسيقية في العادة, تعلم العزف على الآلات في سن مبكرة ، وتنمو المواهب كلما تقدموا في السن ، لينتقلوا ربما إلى مرحلة الاحتراف في عزف الألحان"
CT20-AR-01	1222546282281127936	حركة  حماس  نعلن رفضنا التام والكامل لصفقة العار وتجندنا الكامل لمواجهتها وتسخير كل الإمكانات والمقدرات لإنجاح الخطوات العملية لصدها وإنهائها جنبا إلى جنب مع كل قوى الوطن  تسقط  صفقه  القرن [رابط]		1	حركة حماس نعلن رفضنا التام والكامل لصفقة العار وتجندنا الكامل لمواجهتها وتسخير كل الإمكانات والمقدرات لإنجاح الخطوات العملية لصدها وإنهائها جنبا إلى جنب مع كل قوى الوطن تسقط صفقه القرن [رابط]
CT20-AR-01	1222587714198855680	المجلس التشريعي الفلسطيني يدعو الرئيس محمود عباس إلى إلغاء التنسيق الأمني مع الاحتلال الإسرائيلي كرد على ما يسمى ب  صفقة  القرن   أخبار  العربي [رابط]		1	"المجلس التشريعي الفلسطيني يدعو الرئيس محمود عباس إلى إلغاء التنسيق الأمني مع الاحتلال الإسرائيلي كرد على ما يسمى ب صفقة القرن أخبار العربي [رابط]أهلا وسهلا بك زائرنا الكريم ، إذا كانت هذه زيارتك الأولى للمنتدى ، فيرجى التكرم بزيارة صفحة التعليمات ، بالضغط هنا. كما يشرفنا أن تقوم بالتسجيل بالضغط هنا إذا رغبت بالمشاركة في المنتدى ، أما إذا رغبت بقراءة المواضيع والإطلاع فتفضل بزيارة القسم الذي ترغب أدناه.عنوان الموضوع المشاركة الأخيرة تاريخ بداية الموضوع عدد الردود عدد المشاهدات كاتب الموضوع تقييم الموضوعآخر يوم آخر يومين آخر أسبوع آخر 10 أيام آخر أسبوعين آخر شهر آخر 45 يوم آخر شهرين آخر 75 يوم آخر 100 يوم السنة الماضية البدايةلوحة تحكم العضو الرسائل الخاصة الاشتراكات المتواجدون الآن البحث في المنتدى الصفحة الرئيسية للمنتدى قسم الشعر الفصيح الشعر العمودي قصيدة التفعيلة المساجلات والمعارضات الشعرية الموشح العربي القصائد المختارة لديوان شعراء الملتقى قصائد الثورة السورية القصائد القلائد أسمى وأبدع الردود على المواضيع نقد الشعر الفصيح محاولات شعرية فقه اللغة قراءة في قصيدة الأعاريض والأوزان الخليلية وعلوم البلاغة والبيان قسم النثر "" بأنواعه وأجناسه "" قصيدة النثر الشعر"
CT20-AR-01	1222540820710133760	مواطنون في البحرين يعبرون عن رفضهم لصفقة القرن وينددون بمشاركة سفير بلادهم لدى واشنطن في حفل الإعلان عنها بواشنطن  بحرينيون  ضد  صفقة  القرن  صفقة  القرن  لن  تمر [رابط]		1	"مواطنون في البحرين يعبرون عن رفضهم لصفقة القرن وينددون بمشاركة سفير بلادهم لدى واشنطن في حفل الإعلان عنها بواشنطن بحرينيون ضد صفقة القرن صفقة القرن لن تمر [رابط] آخر الأخبار أبرز عناوين الصحف المحلية الصادرة اليوم الثلاثاء 20 نوفمبر 2018 صحيفة أخبارنا نقلا عن بوابة الشروق ننشر لكم سياسيون : « ترامب » و « بن سلمان » اتفقا على ضرورة إنهاء الحرب باليمن ، سياسيون : "" ترامب "" و "" بن سلمان "" اتفقا على عدم نشر قوات برية في اليمن.. عناوين نقرؤها في كبريات الصحف العالمية التي تتصدرها أصداء قرار الرئيس الأميركي دونالد ترامب بالاعتراف بالقدس عاصمة لإسرائيل ونقل سفارة بلاده من تل أبيب إلى القدس.أبرز عناوين الصحف الفلسطينية الصادرة اليوم الجمعة 16 نوفمبر 2018 مع انتهاء اجتماع المكتب السياسي لحركة حماس تثمن موقف الرئيس محمود عباس الرافض لخطابالرئيس # الأسد يستقبل مختطفي السويداء المحررين : الدولة وضعت في أعلى سلم أولوياتها تحرير كل مخطوف مهما كلف الثمنالخارجية الأميركية : واشنطن تعرض 5 ملايين دولار لمن يقدم معلومات عن قياديين من حركة حماس و حزب الله متورطين بأعمال إرهابية"
CT20-AR-01	1222216433419063296	 عاجل   نتنياهو  يسعدني أن أرى سفراء الإمارات والبحرين وعمان هنا وهذا مؤشر لا للمستقبل فحسب بل للحاضر  لا  لبصقة  القرن [رابط]		1	"عاجل نتنياهو يسعدني أن أرى سفراء الإمارات والبحرين وعمان هنا وهذا مؤشر لا للمستقبل فحسب بل للحاضر لا لبصقة القرن [رابط] … 0 3 days agoRT [مستخدم] : نأمل بأن تكون قمة المصالحة التي تعقدها منظمة التعاون الإسلامي في اسطنبولنشر موقع "" ميدل إيست آي "" مقالا للكاتب مارون رابوبورت ، تحدث فيه عن دوافع رئيس الوزراء الإسرائيلي حول قرار وقفه التصعيد في غزة والعودة إلى التهدئة بعد يومين من العدوان على القطاع ، بحسب وصفه."
CT20-AR-01	1222975624568090629	 عاجل  الرئيس التونسي في حوار تليفزيوني بمناسبة مرور [رقم] يوم على توليه منصبه   صفقة  القرن هي مظلمة القرن والتطبيع خيانة عظمى ، والصفقة ليست مقبولة بأي مقياس من المقاييس وفلسطين ليست ضيعة أو بستانا يباع ويشترى [رابط]		1	عاجل الرئيس التونسي في حوار تليفزيوني بمناسبة مرور [رقم] يوم على توليه منصبه صفقة القرن هي مظلمة القرن والتطبيع خيانة عظمى ، والصفقة ليست مقبولة بأي مقياس من المقاييس وفلسطين ليست ضيعة أو بستانا يباع ويشترى [رابط]
CT20-AR-01	1222570070607650817	 جوزيف  أبو  فاضل  معظم الإنتقادات والإستنكارات والشجب العربية والإسلامية ضد  صفقة  القرن هي كذب وخداع ، كما حصل بأعوام [رقم] و [رقم] و [رقم] و [رقم] و [رقم] و [رقم] على سوريا  الأسد ويوم إعلان القدس عاصمة ل  إسرائيل  المظاهرات والإستنكارات والخطابات والمسيرات والمؤتمرات ذاتها    أمة عميلة خسيسة رخيصة		1	جوزيف أبو فاضل معظم الإنتقادات والإستنكارات والشجب العربية والإسلامية ضد صفقة القرن هي كذب وخداع ، كما حصل بأعوام [رقم] و [رقم] و [رقم] و [رقم] و [رقم] و [رقم] على سوريا الأسد ويوم إعلان القدس عاصمة ل إسرائيل المظاهرات والإستنكارات والخطابات والمسيرات والمؤتمرات ذاتها أمة عميلة خسيسة رخيصة لا يهمها سوى مصالحها الخاصة.
CT20-AR-01	1222272857918578688	تظاهرة غاضبة أمام القنصلية الأمريكية بمدينة إسطنبول التركية رفضا لصفقة القرن ، في هذه الأثناء   تسقط  صفقة  القرن [رابط]		1	تظاهرة غاضبة أمام القنصلية الأمريكية بمدينة إسطنبول التركية رفضا لصفقة القرن ، في هذه الأثناء تسقط صفقة القرن [رابط]
CT20-AR-01	1222636543761887233	مقال بهاآرتس الإسرائيلية  خطة  ترمب للسلام وصفة للحرب وليس السلام  صفقة  القرن  FreePalestine [رابط]		1	مقال بهاآرتس الإسرائيلية خطة ترمب للسلام وصفة للحرب وليس السلام صفقة القرن FreePalestine [رابط]
